date,symbole,interval,rv,bv,part_saut
2026-06-05,NZDUSD=X,5m,2.744413649e-05,2.046499004e-05,0.2543
2026-06-05,PG,5m,0.0002237051764,0.0002272726884,0
2026-06-05,SAN.PA,5m,0.0001034894854,9.681212354e-05,0.0645
2026-06-05,SAP.DE,5m,0.0004997378877,0.0004920682573,0.0153
2026-06-05,SI=F,5m,0.001363195252,0.0009762887657,0.2838
2026-06-05,SIE.DE,5m,0.0002147508059,0.000192063911,0.1056
2026-06-05,SOLUSDT,5m,0.00627699654,0.00579656228,0.0765
2026-06-05,TSLA,5m,0.0005581841813,0.0005174374438,0.073
2026-06-05,TTE.PA,5m,0.0001270082914,0.0001258149965,0.0094
2026-06-05,UNH,5m,0.0003864638699,0.0002919356589,0.2446
2026-06-05,USDCAD=X,5m,1.002619381e-05,1.020648866e-05,0
2026-06-05,USDCHF=X,5m,2.446649067e-05,1.848272016e-05,0.2446
2026-06-05,USDJPY=X,5m,5.346071471e-06,4.417655518e-06,0.1737
2026-06-05,V,5m,0.0001253373883,0.0001258397568,0
2026-06-05,XOM,5m,0.0001310290831,0.0001397377326,0
2026-06-05,XRPUSDT,5m,0.004379438609,0.00435651392,0.0052
2026-06-05,ZW=F,5m,0.0002292173924,0.0001875972188,0.1816
2026-06-05,^FCHI,5m,3.649974522e-05,3.665727762e-05,0
2026-06-05,^GDAXI,5m,4.635382468e-05,4.921717176e-05,0
2026-06-05,^GSPC,5m,7.11855521e-05,7.08689315e-05,0.0044
2026-06-05,^HSI,5m,4.842223979e-05,4.137663785e-05,0.1455
2026-06-05,^KS11,5m,0.0007900081811,0.0009316856433,0
2026-06-05,^N225,5m,0.0001555915595,0.0001348050628,0.1336
2026-06-05,^NDX,5m,0.0001953940323,0.0001891951385,0.0317
2026-06-05,^STOXX50E,5m,4.654825732e-05,4.353213783e-05,0.0648
2026-06-06,BNBUSDT,5m,0.001411941958,0.001261493235,0.1066
2026-06-06,BTCUSDT,5m,0.000989088567,0.0009364409867,0.0532
2026-06-06,ETHUSDT,5m,0.00224324268,0.002126204364,0.0522
2026-06-06,SOLUSDT,5m,0.003214143754,0.002929010738,0.0887
2026-06-06,XRPUSDT,5m,0.002538973836,0.002344565176,0.0766
2026-06-07,BNBUSDT,5m,0.001208776866,0.0008629125888,0.2861
2026-06-07,BTCUSDT,5m,0.001462936206,0.0009812682536,0.3292
2026-06-07,ETHUSDT,5m,0.002771521751,0.001663019868,0.4
2026-06-07,SOLUSDT,5m,0.003031907152,0.002464181197,0.1873
2026-06-07,XRPUSDT,5m,0.002069202471,0.001633354663,0.2106
2026-06-08,005930.KS,5m,0.003095914586,0.003490745589,0
2026-06-08,0700.HK,5m,0.0003970268317,0.0003542488687,0.1077
2026-06-08,2330.TW,5m,0.0003880901198,0.0003796644684,0.0217
2026-06-08,6758.T,5m,0.000276305997,0.0002498534682,0.0957
2026-06-08,7203.T,5m,0.0001463625559,0.0001161985332,0.2061
2026-06-08,9984.T,5m,0.001607467969,0.001415015879,0.1197
2026-06-08,9988.HK,5m,0.0002120066989,0.0002287098,0
2026-06-08,AAPL,5m,0.0008455291682,0.0009613281679,0
2026-06-08,AIR.PA,5m,0.0003347397308,0.0002693831956,0.1952
2026-06-08,AMZN,5m,0.0001608339947,0.0001551384368,0.0354
2026-06-08,ASML.AS,5m,0.0008632304135,0.0006695670289,0.2243
2026-06-08,AUDUSD=X,5m,2.91536546e-05,2.736786271e-05,0.0613
2026-06-08,BNBUSDT,5m,0.0006423721893,0.0005764093762,0.1027
2026-06-08,BNP.PA,5m,0.0001825513146,0.0001293401554,0.2915
2026-06-08,BTCUSDT,5m,0.0008225022212,0.0007610757395,0.0747
2026-06-08,BZ=F,5m,0.001175101133,0.001111770881,0.0539
2026-06-08,CC=F,5m,0.0006516669957,0.0006871065782,0
2026-06-08,CL=F,5m,0.001420698425,0.001376702546,0.031
2026-06-08,COST,5m,0.0001258207217,0.0001348623043,0
2026-06-08,ETHUSDT,5m,0.001418448212,0.001363418679,0.0388
2026-06-08,EURUSD=X,5m,1.223828858e-05,1.165883919e-05,0.0473
2026-06-08,GBPUSD=X,5m,1.432780668e-05,1.394896738e-05,0.0264
2026-06-08,GC=F,5m,0.0002378805452,0.0002161003939,0.0916
2026-06-08,GOOGL,5m,0.0001897033682,0.0002033595506,0
2026-06-08,HG=F,5m,0.0002204539263,0.0002199366583,0.0023
2026-06-08,JPM,5m,0.0001428789087,0.000124931824,0.1256
2026-06-08,KC=F,5m,0.0002924733664,0.0002795299331,0.0443
2026-06-08,KO,5m,8.240194272e-05,7.939014186e-05,0.0366
2026-06-08,MC.PA,5m,0.0002836369061,0.0002795843788,0.0143
2026-06-08,META,5m,0.0002530520723,0.0002124469441,0.1605
2026-06-08,MSFT,5m,9.378753634e-05,8.361414841e-05,0.1085
2026-06-08,NG=F,5m,0.0005155651994,0.0005421210991,0
2026-06-08,NVDA,5m,0.0002896568011,0.0002466799257,0.1484
2026-06-08,NZDUSD=X,5m,3.199145962e-05,2.899871509e-05,0.0935
2026-06-08,PG,5m,5.678601302e-05,6.20524305e-05,0
